Date,Open,High,Low,Close,Adj_Close,Volume,Daily Return %,Month-Year,Year
03-01-2000,22.79166794,23,21.83333206,22.27083206,14.30738831,25109700,2127.083206,Jan 2000,2000
04-01-2000,21.83333206,21.9375,21.39583206,21.4375,13.77203178,20235300,2043.75,Jan 2000,2000
05-01-2000,21.29166794,21.45833206,20.72916794,21,13.49097443,21056100,2000,Jan 2000,2000
06-01-2000,21,21.52083206,20.89583206,21.22916794,13.63819599,19633500,2022.916794,Jan 2000,2000
07-01-2000,21.5,22.97916794,21.5,22.83333206,14.66874599,23930700,2183.333206,Jan 2000,2000
10-01-2000,22.41666794,22.5,21.875,22.41666794,14.40108204,20142900,2141.666794,Jan 2000,2000
11-01-2000,22.35416794,22.58333206,21.875,22.08333206,14.18693066,14829900,2108.333206,Jan 2000,2000
12-01-2000,22.0625,22.25,21.6875,21.6875,13.93263912,12255000,2068.75,Jan 2000,2000
13-01-2000,22,22.04166794,21.66666794,21.70833206,13.9460268,15063000,2070.833206,Jan 2000,2000
14-01-2000,21.33333206,21.97916794,21.33333206,21.5,13.8121891,18936600,2050,Jan 2000,2000
18-01-2000,21.0625,22.14583206,21.02083206,21.85416794,14.03971386,19326600,2085.416794,Jan 2000,2000
19-01-2000,21.75,21.9375,21.33333206,21.35416794,13.71850586,14459700,2035.416794,Jan 2000,2000
20-01-2000,21.47916794,21.5,20.83333206,21.125,13.57127857,17214300,2012.5,Jan 2000,2000
21-01-2000,21.3125,21.3125,20.6875,20.8125,13.37051296,20857500,1981.25,Jan 2000,2000
24-01-2000,21.14583206,21.14583206,19.16666794,19.79166794,12.71470928,23399700,1879.166794,Jan 2000,2000
25-01-2000,19.9375,20.39583206,19.83333206,20.375,13.08945084,19211400,1937.5,Jan 2000,2000
26-01-2000,20.375,20.6875,20,20.64583206,13.26344395,13615200,1964.583206,Jan 2000,2000
27-01-2000,20.4375,20.5,19.29166794,19.70833206,12.66116714,21969900,1870.833206,Jan 2000,2000
28-01-2000,19.625,19.625,17.83333206,18.375,11.80460167,42088200,1737.5,Jan 2000,2000
31-01-2000,18.1875,18.5,18.04166794,18.25,11.72429848,23918100,1725,Jan 2000,2000
01-02-2000,18.33333206,19.83333206,18.3125,19.5625,12.56747913,25077000,1856.25,Feb 2000,2000
02-02-2000,19.625,20.04166794,19.3125,19.45833206,12.50056267,18103800,1845.833206,Feb 2000,2000
03-02-2000,19.45833206,19.60416794,18.75,19.45833206,12.50056267,20997000,1845.833206,Feb 2000,2000
04-02-2000,19.3125,19.3125,18.66666794,18.77083206,12.05889511,19649100,1777.083206,Feb 2000,2000
07-02-2000,18.875,18.875,18.20833206,18.58333206,11.93843651,18131100,1758.333206,Feb 2000,2000
08-02-2000,19.10416794,19.89583206,18.95833206,19.83333206,12.74147224,25728300,1883.333206,Feb 2000,2000
09-02-2000,20,20.04166794,19.10416794,19.27083206,12.3801136,24649800,1827.083206,Feb 2000,2000
10-02-2000,19.20833206,19.45833206,18.9375,19,12.20611858,13774800,1800,Feb 2000,2000
11-02-2000,19.14583206,19.16666794,18.54166794,18.6875,12.00535774,14450100,1768.75,Feb 2000,2000
14-02-2000,18.89583206,19.625,18.83333206,19.625,12.60763073,17410800,1862.5,Feb 2000,2000
15-02-2000,18.97916794,19.33333206,18.33333206,19.33333206,12.42026329,29136300,1833.333206,Feb 2000,2000
16-02-2000,18.83333206,18.83333206,17.5625,17.58333206,11.29601288,40757400,1658.333206,Feb 2000,2000
17-02-2000,17.64583206,17.83333206,16,16.125,10.35913754,74300100,1512.5,Feb 2000,2000
18-02-2000,16.16666794,16.5,15.75,15.91666698,10.2253027,58183200,1491.666698,Feb 2000,2000
22-02-2000,16.41666794,16.4375,15.58333302,16.04166794,10.30560207,37027800,1504.166794,Feb 2000,2000
23-02-2000,16.14583206,16.16666794,15.58333302,15.66666698,10.0646944,38623200,1466.666698,Feb 2000,2000
24-02-2000,15.66666698,15.95833302,14.47916698,15.95833302,10.25207043,58295700,1495.833302,Feb 2000,2000
25-02-2000,14.77083302,15.10416698,14.54166698,14.83333302,9.529338837,50725500,1383.333302,Feb 2000,2000
28-02-2000,14.85416698,15.64583302,14.85416698,15.39583302,9.890704155,53508300,1439.583302,Feb 2000,2000
29-02-2000,15.97916698,16.58333206,15.97916698,16.25,10.4394455,51591600,1525,Feb 2000,2000
01-03-2000,16.625,16.66666794,15.83333302,16.33333206,10.49298,30497400,1533.333206,Mar 2000,2000
02-03-2000,17.58333206,17.625,16.8125,16.85416794,10.82757568,46628100,1585.416794,Mar 2000,2000
03-03-2000,17.375,17.77083206,17.16666794,17.54166794,11.26924419,32372400,1654.166794,Mar 2000,2000
06-03-2000,17.54166794,17.5625,16.20833206,16.83333206,10.81419182,31480800,1583.333206,Mar 2000,2000
07-03-2000,16.54166794,16.54166794,15.70833302,15.85416698,10.18515015,29174100,1485.416698,Mar 2000,2000
08-03-2000,15.77083302,16.4375,15.20833302,16.10416794,10.34575748,30056100,1510.416794,Mar 2000,2000
09-03-2000,16.33333206,16.47916794,15.625,16.3125,10.47959423,23834700,1531.25,Mar 2000,2000
10-03-2000,16.58333206,16.58333206,15.8125,15.97916698,10.26545715,21016500,1497.916698,Mar 2000,2000
13-03-2000,15.41666698,15.97916698,15.29166698,15.89583302,10.21191311,23183700,1489.583302,Mar 2000,2000
